EDGES=66626.0, ITERATIONS=20,DATE=2018-04-17,,
Messages,Largest component size,LCS uncertainty,Average Clustering Coefficient,ACC uncertainty
24200,16462.25,107.2443938,8.66E-05,0.000134505
24250,16481.75,107.698468,8.78E-05,0.00013747
24300,16502.65,108.1794805,8.86E-05,0.000137934
24350,16525.2,103.958838,8.85E-05,0.000137909
24400,16549.15,104.8534215,8.84E-05,0.000137899
24450,16573.2,106.9669108,9.07E-05,0.000134328
24500,16598.5,109.2820205,9.11E-05,0.000133863
24550,16622.4,108.2885035,9.10E-05,0.000133968
24600,16642.75,105.2851367,9.11E-05,0.000134036
24650,16660.65,104.0107687,9.32E-05,0.000135384
24700,16681.6,103.8236967,9.40E-05,0.000135994
24750,16704.95,103.3947774,9.57E-05,0.000136801
24800,16727.65,104.9197789,9.79E-05,0.000141014
24850,16745.05,101.9595998,9.84E-05,0.000141004
24900,16762.8,99.14756679,9.99E-05,0.000141747
24950,16784.5,99.9423834,0.000100618,0.000141186
25000,16805.5,100.3410185,0.000100791,0.000141417
25050,16826.65,98.78015995,0.000100846,0.000141361
25100,16850,96.77974995,0.00010082,0.000141277
25150,16868.15,97.37925857,0.00010159,0.00014224
25200,16886.8,93.46314782,0.000102557,0.000141726
25250,16906.55,96.25881778,0.00010276,0.000142043
25300,16926.3,96.79090866,0.00010273,0.000141998
25350,16947.6,95.86031504,0.000102962,0.000141682
25400,16969.2,98.47761167,0.000104017,0.000141899
25450,16989,97.59713111,0.000104395,0.000142157
